fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
34d44a7b-f8ca-4cd3-b88a-e32e12d7f410,1684254560539,133262343402493340,1,713.271,392.627,PiePlot3DTest.java,100,34,,,,3.12254,3.24747,609
70eba212-ec69-4c67-9f97-a7eef4020b93,1684254560539,133262343393420835,2,654.125,328.625,PiePlot3DTest.java,96,23,,,,3.25636,3.40898,267
36121f1a-fe92-497f-8d47-72127e5e3258,1684254560539,133262343390917305,3,595.429,326.429,PiePlot3DTest.java,96,13,,,,3.24002,3.35921,92
1f412f93-babd-4f72-8ad3-a6150b6bf2cd,1684254560539,133262343384000117,4,805.895,444.632,PiePlot3DTest.java,104,44,,,,3.30031,3.35397,575
78749031-7c9d-4a19-bb7a-08b9c674a72a,1684254560539,133262343377666118,5,615.731,374.308,PiePlot3DTest.java,99,16,,,,3.17008,3.24913,550
3164bf8f-68cb-4da8-a3ca-e02aefd36bf1,1684254560539,133262343362006806,6,561,106.75,PiePlot3DTest.java,81,7,,,,3.06599,3.1645,417
45ce9f4a-7cfd-4d84-94d7-3123d02471aa,1684254560539,133262343351588434,7,602.143,410.633,PiePlot3DTest.java,102,14,,,,3.22415,3.32018,400
e0542f0c-2b1f-43f9-b3ec-3ad79a99496d,1684254560539,133262343338820939,8,859.611,389.333,PiePlot3DTest.java,100,51,,,,3.00263,3.11603,352
0a483458-f282-4774-b4f2-d250b073c3b0,1684254560539,133262343322920134,9,639.585,440.976,Bug-14.txt,68,21,,,,2.98236,3.14165,482
107f9d64-8efd-4ab0-8e12-784dbf502405,1684254560539,133262343269838758,10,655.989,295.955,PiePlot.java,2319,22,,,,2.98543,3.08581,865
90a7622f-2a98-4832-8be7-725eab353fbb,1684254560539,133262343256754017,11,689.716,280.797,PiePlot.java,2321,21,,,,3.15652,3.24616,625
588cc9dc-2fe5-48e3-9627-a96b8a827318,1684254560539,133262343246006526,12,673.586,250.483,PiePlot.java,2319,23,,,,3.26058,3.33789,274
8d5fc5c9-8aa6-4b8b-9f95-90554f457072,1684254560539,133262343234920511,13,620.989,242.968,PiePlot.java,2317,17,,,,3.28867,3.35252,1074
94c9376b-1c3c-4cff-954d-4b4b75ea24ae,1684254560539,133262343228086918,14,718.436,181.636,PiePlot.java,2314,30,,,,3.16609,3.24585,617
07451e41-bdc3-4b89-9a15-8cade757141d,1684254560539,133262343224401916,15,633.844,182.156,PiePlot.java,2314,18,,,,3.17281,3.25086,308
bbd1fb52-7714-4d84-bcb3-05e639a15014,1684254560539,133262343217424675,16,673.378,262.351,PiePlot.java,2319,25,,,,3.184,3.27256,667
b0282918-9a34-4e7d-a04e-57d551bae467,1684254560539,133262343209070340,17,751.222,228.222,PiePlot.java,1574,34,,,,3.26099,3.30145,269
5a59e40f-2f61-49e9-9696-63fae9fb26de,1684254560539,133262343188253822,18,643.485,447.03,Bug-14.txt,68,19,,,,3.12833,3.26584,909
955cc613-ff64-4681-8b47-e666c3185c3b,1684254560539,133262343177583064,19,726.17,446.479,Bug-14.txt,68,34,,,,3.10651,3.24426,1049
