fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
78451d36-6b17-4ed8-a48d-55284bf30ebd,1684254468081,133262331898710483,1,596.308,152.154,StatisticalBarRenderer.java,335,14,,,,3.40352,3.48323,109
256a3091-946d-42b9-bb7d-7449415b8361,1684254468081,133262331889229717,2,591.28,338.707,StatisticalBarRenderer.java,348,12,,,,3.34374,3.42036,917
7e4600eb-c6c0-4998-9f96-ef26a15fb37f,1684254468081,133262331885474619,3,723.706,359.706,StatisticalBarRenderer.java,350,32,,,,3.38795,3.45798,276
fd9fcc18-25ed-4055-828a-8d5b634414cd,1684254468081,133262331880645620,4,651.813,344.656,StatisticalBarRenderer.java,348,21,,,,3.29293,3.38602,417
d8167f38-d840-4623-a3d7-5100b100610e,1684254468081,133262331877460497,5,576.778,335.611,StatisticalBarRenderer.java,347,10,,,,3.41541,3.47968,303
50c7da32-ecc5-4a45-83e1-500474fc5814,1684254468081,133262331853813795,6,613.681,348.197,StatisticalBarRenderer.java,347,13,,,,3.40591,3.47415,2349
9b734f73-66f9-49c3-af10-89fcfe0182ec,1684254468081,133262331851561670,7,689.5,458.563,StatisticalBarRenderer.java,356,26,,,,3.41985,3.48569,192
4816039c-11a5-4d3b-9166-e2b03e0e8df4,1684254468081,133262331842070405,8,628.182,298.091,LegendItemCollection.java,84,18,,,,3.24347,3.33647,158
37cffb67-2561-449e-bce8-d9715f287511,1684254468081,133262331840063301,9,638.375,405.813,LegendItemCollection.java,91,19,,,,3.3457,3.41172,166
9c2c39da-a16a-4f6c-aec5-e52edef10fc9,1684254468081,133262331837710202,10,712.176,433.588,LegendItemCollection.java,93,30,,,,3.43296,3.4891,209
38dc33e1-9b26-4378-90b3-8ffc052c814b,1684254468081,133262331836479639,11,847.273,507.909,LegendItemCollection.java,98,49,,,,3.48542,3.50838,100
40ae0b88-306a-4e81-916c-d1f66cf63b74,1684254468081,133262331826144873,12,897.818,102.333,StatisticalBarRendererTest.java,132,56,,,,3.40996,3.49556,450
998ce7fe-725c-48ce-ac76-e6e2786d637e,1684254468081,133262331819311892,13,834.836,103.145,StatisticalBarRendererTest.java,132,45,,,,3.38702,3.46312,632
d1f7a250-6172-4f5e-806f-c4b760fb522a,1684254468081,133262331783477561,14,807.694,358.801,StatisticalBarRendererTest.java,149,44,,,,3.46412,3.50036,2650
86dfad56-3060-4b35-a3da-f217420aff7f,1684254468081,133262331771977868,15,735.885,309.855,StatisticalBarRendererTest.java,145,28,,,,3.28032,3.32658,1126
34fd4639-5b20-43f0-b3c8-4e23bf04fb12,1684254468081,133262331768626743,16,749.857,276.286,StatisticalBarRendererTest.java,143,35,,,,3.15932,3.25605,224
8ea2fde1-80c0-48b0-8160-a95760cfaf7d,1684254468081,133262331763228452,17,684.8,282.1,StatisticalBarRendererTest.java,143,24,,,,3.08487,3.14412,441
21340256-a59f-420a-a8a3-3d25c4d2621d,1684254468081,133262331755889569,18,605.097,297.667,StatisticalBarRendererTest.java,144,13,,,,3.01124,3.05606,623
ae8b58d5-c790-480c-8afc-922c98b5fd04,1684254468081,133262331752293235,19,582.125,458.938,StatisticalBarRendererTest.java,156,11,,,,2.96793,3.05657,343
c8695069-91a6-45f2-a3e4-8d340c0cf1f9,1684254468081,133262331740043775,20,659.707,473.857,StatisticalBarRendererTest.java,157,23,,,,2.92709,3.009,1192
9e91d57b-8040-4925-b4ce-bc304218a4f2,1684254468081,133262331631793671,21,633.5,261.167,StatisticalBarRendererTest.java,78,19,,,,3.15151,3.22194,507
4b9e2556-38f4-41d3-a69d-499510a04118,1684254468081,133262331626978737,22,662.1,148.175,StatisticalBarRendererTest.java,70,23,,,,3.0689,3.11582,450
a9d8d13e-1449-4938-8269-2c146e454716,1684254468081,133262331624711773,23,640.692,344.154,StatisticalBarRendererTest.java,79,19,,,,3.24716,3.2814,193
bcb0db95-1225-4159-b3fe-6878e541a636,1684254468081,133262331270315824,24,662.592,360.461,StatisticalBarRenderer.java,348,29,,,,2.99412,3.03971,641
e4088ada-8b62-46c2-8ebc-48e065943b14,1684254468081,133262331246317021,25,738.864,417.809,StatisticalBarRenderer.java,353,33,,,,3.24342,3.27763,1015
4c4448e3-c050-4dad-8755-231c80fb9b39,1684254468081,133262331230731646,26,891,426.958,StatisticalBarRenderer.java,353,55,,,,3.04487,3.11461,217
6b502abf-8d52-464e-ae0a-9a81e33f05bb,1684254468081,133262331224049374,27,679.813,538.188,StatisticalBarRenderer.java,360,25,,,,3.05116,3.0952,325
65c8b88b-8e44-4b25-aab9-3b2e27ace79c,1684254468081,133262331176815217,28,632.436,277.127,StatisticalBarRenderer.java,347,17,,,,3.1143,3.1811,793
2d5973c6-cf70-47a7-b017-d04dfc2377e9,1684254468081,133262331173899073,29,708.056,294.778,StatisticalBarRenderer.java,348,29,,,,3.06804,3.1583,275
dc60e433-53e9-474f-a74d-28c94925dc05,1684254468081,133262331164148553,30,641.471,302.094,StatisticalBarRenderer.java,350,28,,,,3.03039,3.11195,698
01e5e369-5332-4a5a-8978-635cff1d98f7,1684254468081,133262331162732636,31,746.125,305.5,StatisticalBarRenderer.java,350,34,,,,2.99026,3.05577,116
541c27bd-6a86-419b-8526-be46b5d36ff5,1684254468081,133262331158214373,32,682.413,320.913,StatisticalBarRenderer.java,349,23,,,,3.06478,3.14419,377
245db8bd-96bc-44e1-b99b-7bc0b39a207e,1684254468081,133262331142547958,33,705.35,491,StatisticalBarRenderer.java,320,29,,,,3.35173,3.35429,293
