fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
6a6bac83-4f42-4bab-9c86-5bde7c29a1ed,1684254652119,133262354974301445,34,722.286,354.81,DefaultBoxAndWhiskerCategoryDataset.java,172,31,,,,3.9366,3.94889,162
804714c4-24af-4cc7-b8bc-cef58568bb31,1684254652119,133262354943622190,35,620.038,541.514,DefaultBoxAndWhiskerCategoryDataset.java,184,16,,,,3.47016,3.48567,1209
fdc038ad-464d-4ac4-9242-64072add4b7f,1684254652119,133262354911873759,36,602.62,255.227,DefaultBoxAndWhiskerCategoryDataset.java,154,15,,,,3.42134,3.47446,3126
3cffe1d2-2c66-41e6-b15e-ec184f4f41f4,1684254652119,133262354864046097,37,618.875,242.75,DefaultBoxAndWhiskerCategoryDataset.java,151,16,,,,3.50728,3.54188,3716
61687d00-62eb-440b-8a9c-fc49936ff475,1684254652119,133262354856949309,38,632.333,301.833,DefaultBoxAndWhiskerCategoryDataset.java,155,15,,,,3.69209,3.80437,249
fd16948b-d092-422b-983b-70eb6da8ef7b,1684254652119,133262354841111774,39,665.682,210.182,DefaultBoxAndWhiskerCategoryDataset.java,150,23,,,,3.67213,3.80875,177
148d06ef-cb99-49af-a5f3-5c6817ecb2be,1684254652119,133262354830132870,40,590.286,297.429,DefaultBoxAndWhiskerCategoryDataset.java,155,10,,,,3.84516,3.96391,124
3ea5894c-e0f5-4630-a304-72d4fe4c9183,1684254652119,133262354812441048,41,613.75,219.422,DefaultBoxAndWhiskerCategoryDataset.java,151,16,,,,3.49314,3.56235,535
8200f32a-ee85-479c-8d91-0a1f9337b926,1684254652119,133262354808025533,42,617.969,265.063,DefaultBoxAndWhiskerCategoryDataset.java,157,16,,,,3.64744,3.65933,277
d100d58d-b3d1-4b81-85fa-bf64062ef528,1684254652119,133262354790712773,43,628.102,539.336,DefaultBoxAndWhiskerCategoryDataset.java,171,19,,,,3.75297,3.77104,1684
8fd217cc-e36a-42f8-8223-eb87b02e03c5,1684254652119,133262354750529491,44,637.909,418.485,DefaultBoxAndWhiskerCategoryDataset.java,149,19,,,,3.1408,3.2632,552
39a5c309-b92e-48bb-94b5-2ad12295be73,1684254652119,133262354745712131,45,754.321,336.821,DefaultBoxAndWhiskerCategoryDataset.java,144,36,,,,3.23578,3.35162,450
e3fb6403-5494-471e-a504-e7d8db23f9e9,1684254652119,133262354739290373,46,693.462,323.308,DefaultBoxAndWhiskerCategoryDataset.java,142,27,,,,3.3093,3.42469,408
5747b499-ab98-445e-9e8b-476dbe74a2a8,1684254652119,133262354720126760,47,663.415,246.472,DefaultBoxAndWhiskerCategoryDataset.java,147,28,,,,3.09866,3.15816,1841
0e7a9649-a81f-4d6f-b0b2-767d975fb707,1684254652119,133262354710628002,48,668.833,486.15,DefaultBoxAndWhiskerCategoryDataset.java,176,23,,,,3.2028,3.25393,715
7dde575f-c59f-4730-b376-cbb8cc3f3442,1684254652119,133262354707130631,49,595.526,503.789,DefaultBoxAndWhiskerCategoryDataset.java,176,13,,,,3.44443,3.48283,299
366e862c-2738-4069-b21b-d5d0d42e5992,1684254652119,133262354702879111,50,654.226,437.935,DefaultBoxAndWhiskerCategoryDataset.java,144,22,,,,3.33322,3.4164,392
22d0e73f-c2e6-49d8-aad9-4953f5617e42,1684254652119,133262354691798609,51,612.943,463.759,DefaultBoxAndWhiskerCategoryDataset.java,146,17,,,,3.13211,3.2087,1083
3359c511-ac29-4286-8d4d-b8cae72ad78f,1684254652119,133262354688128981,52,628.739,464.087,DefaultBoxAndWhiskerCategoryDataset.java,146,18,,,,3.09153,3.21145,234
8361f328-463f-4a07-b463-149230b9ef12,1684254652119,133262354676529058,53,659.739,367.913,DefaultBoxAndWhiskerCategoryDataset.java,139,21,,,,3.04979,3.11847,1143
37eaaf95-9d1b-4f99-8925-31428afd07ea,1684254652119,133262354674295210,54,744.773,394.955,DefaultBoxAndWhiskerCategoryDataset.java,141,34,,,,3.20311,3.32205,200
04505f2e-d38b-4d1e-ba36-5daf60bbc19d,1684254652119,133262354670949631,55,695.32,494.16,DefaultBoxAndWhiskerCategoryDataset.java,148,27,,,,3.29272,3.35523,201
5337c9b5-d3a8-4b58-8284-a2d3e28caf08,1684254652119,133262354656880693,56,620.549,478.92,DefaultBoxAndWhiskerCategoryDataset.java,148,15,,,,3.2625,3.35419,1374
c52fd041-e896-413e-86bf-55f9c45a6855,1684254652119,133262354650381754,57,756.333,456.133,DefaultBoxAndWhiskerCategoryDataset.java,146,36,,,,3.2526,3.34185,375
1d72b023-6f0f-4115-9fef-bca978e86695,1684254652119,133262354647956811,58,698,446,DefaultBoxAndWhiskerCategoryDataset.java,144,27,,,,3.19633,3.29914,84
f45353e4-1d6f-4460-937a-e9690bd712db,1684254652119,133262354635131893,59,619.139,469.676,DefaultBoxAndWhiskerCategoryDataset.java,147,16,,,,3.25955,3.34425,1183
ae3e519d-44af-4f95-b8f9-261ec49fa480,1684254652119,133262354628212173,60,637.174,475.652,DefaultBoxAndWhiskerCategoryDataset.java,147,22,,,,3.24965,3.36149,567
5df60ebb-91be-46a1-ad4c-694937914fc4,1684254652119,133262354615295209,61,614.554,339.402,DefaultBoxAndWhiskerCategoryDataset.java,147,19,,,,3.09681,3.1581,1266
c850073b-a4d5-4f68-9569-bcca5c43206b,1684254652119,133262354613212396,62,690.176,487.588,DefaultBoxAndWhiskerCategoryDataset.java,156,26,,,,3.15559,3.23216,182
6642f482-8606-4a80-b69c-0ef349fd597d,1684254652119,133262354511544625,63,610.535,246.581,Bug-19.txt,36,14,,,,3.21919,3.30561,108083
2a027e1b-10f3-481d-b919-bee7bf5aa335,1684254652119,133262354505462428,64,662.6,240.8,Bug-19.txt,35,24,,,,3.21851,3.29613,91
a0812959-0588-45f6-937a-34219312cdc8,1684254652119,133262354501378380,65,528.786,370.357,Bug-19.txt,44,5,,,,3.18373,3.26753,225
fd663837-3752-450a-a9c5-d1446b381d5a,1684254652119,133262354486796390,66,638.759,443.966,Bug-19.txt,49,21,,,,3.51792,3.6199,234
7da513b5-9694-4a9f-9d4d-12927abe7790,1684254652119,133262354485128746,67,674.8,352,Bug-19.txt,43,26,,,,3.54159,3.64298,150
14702a8b-1e79-43ff-9241-4c619d5d8728,1684254652119,133262354481878941,68,610.583,253.5,Bug-19.txt,36,16,,,,3.43192,3.52157,133
ddb5a3ae-619b-472e-8c5d-eee8f5ac3ef9,1684254652119,133262354477629125,69,550.021,245.521,Bug-19.txt,36,8,,,,3.5068,3.57612,391
23f752e8-a302-40e0-b61c-237f499c3473,1684254652119,133262354475211981,70,629.708,276.667,Bug-19.txt,38,19,,,,3.49374,3.55481,226
63da6cb6-38ec-4a96-a294-cc33d93b6983,1684254652119,133262354268463322,71,630.389,197.278,DefaultBoxAndWhiskerCategoryDataset.java,137,18,,,,3.50764,3.5885,175
04e33117-d08c-44b1-a640-22bbb29907a5,1684254652119,133262354257363274,72,604.444,329.758,DefaultBoxAndWhiskerCategoryDataset.java,146,14,,,,3.32458,3.44915,1077
beb5ed04-fb7e-4492-bafe-3f83e4623ec7,1684254652119,133262354253197062,73,618.775,262.05,DefaultBoxAndWhiskerCategoryDataset.java,148,17,,,,3.20953,3.28515,361
9f0e8128-b803-4831-a6ae-31eced32f11c,1684254652119,133262354246711191,74,621.583,230.083,DefaultBoxAndWhiskerCategoryDataset.java,159,17,,,,3.22488,3.29489,565
8d54a700-e8f0-4fa0-ba95-f3265555dd87,1684254652119,133262354228464276,75,604.727,546.008,DefaultBoxAndWhiskerCategoryDataset.java,185,14,,,,3.27002,3.37776,1782
