fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
23a7b6e2-0f5c-4a6c-b45c-3439af15d0c8,1684254534330,133262338680432498,1,610.917,549.458,Bug-2.txt,58,18,,,,3.43827,0.0,751
e1c9cd2b-4c17-4878-83c7-7c7b05872142,1684254534330,133262338676007451,2,713.739,552.696,Bug-2.txt,58,33,,,,3.49398,0.0,419
d90e5f59-14e0-40b4-ad16-a3c7ad575d0b,1684254534330,133262338671184339,3,613.969,492.469,Bug-2.txt,54,18,,,,3.34214,0.0,450
0d98cbda-e04e-4d15-9cc4-2146d7117c35,1684254534330,133262338666686816,4,511.882,383.294,Bug-2.txt,47,3,,,,3.2099,0.0,392
7c8243f8-bf8c-4604-b9c3-1ba9846ac3a7,1684254534330,133262338656269121,5,597.507,452.045,Bug-2.txt,52,16,,,,3.16665,0.0,658
6989c8b8-c125-4443-83e7-15bec7e9d648,1684254534330,133262338652101630,6,684.464,458.357,Bug-2.txt,46,28,,,,3.22003,0.0,400
11a4ff53-94d2-4a60-96d4-2eabad5f242f,1684254534330,133262338645187460,7,596.308,389.538,Bug-2.txt,38,16,,,,3.20266,0.0,224
8ab19157-574d-43f1-ab90-12d14d240f30,1684254534330,133262338641685857,8,557.657,375.486,Bug-2.txt,37,10,,,,3.19677,0.0,316
6a8e91fc-e25a-464c-b873-6919a1570985,1684254534330,133262338626681328,9,525.541,357.595,Bug-2.txt,36,5,,,,3.13428,0.0,625
e9e6384b-2049-401d-b52b-2e79725a65b4,1684254534330,133262338604084920,10,545.25,372.313,Bug-2.txt,37,8,,,,3.29383,0.0,492
5aedfe18-4a9b-442d-bb3a-de5bcf3c3cff,1684254534330,133262338601269058,11,564.174,432.565,Bug-2.txt,41,11,,,,3.25247,0.0,250
8995cbc4-95a3-4c66-8aac-643da61b2509,1684254534330,133262338595751538,12,559.921,211.789,Bug-2.txt,26,7,,,,3.31084,0.0,417
23181685-8dc7-4159-941e-af566458a802,1684254534330,133262338592855778,13,544.333,296.458,Bug-2.txt,32,5,,,,3.32313,0.0,234
2e8d0093-b37d-48d2-957b-9706d1d01085,1684254534330,133262338587688238,14,522.857,366,Bug-2.txt,37,5,,,,3.36518,0.0,483
cdafee6c-5381-41a0-b9ad-c142a005fb08,1684254534330,133262338582688728,15,508.625,430.292,Bug-2.txt,41,3,,,,3.38741,0.0,484
44eedf4d-6d31-4777-a0c8-761bac0adfe5,1684254534330,133262338576604785,16,637.109,440.673,Bug-2.txt,40,18,,,,3.37438,0.0,590
6e374d40-6cef-4023-a33a-7d4deaffb959,1684254534330,133262338559941292,17,655.667,159.667,TimeSeries.java,1134,21,,,,3.30418,0.0,100
263ad829-7353-4bdc-8db8-b38a327a6f2f,1684254534330,133262338431109606,18,673.679,493.321,TimeSeries.java,1156,23,,,,3.01228,0.0,283
bf0f418f-d672-487c-ad57-c8780319b747,1684254534330,133262338426533577,19,645,360.972,TimeSeries.java,1147,18,,,,3.04398,0.0,440
1191e7b5-d4bf-402e-8131-e80d530e8aa1,1684254534330,133262338424187118,20,686,391.25,TimeSeries.java,1148,25,,,,2.95123,0.0,100
361efcb5-e2bf-416c-a8c6-934f0c391ccf,1684254534330,133262338409604031,21,721.952,388.19,TimeSeries.java,1149,31,,,,3.34004,0.0,242
6e13befa-8d13-4f3c-852b-2731e5543016,1684254534330,133262338364021971,22,612.688,566.646,TimeSeries.java,1161,15,,,,3.08311,0.0,392
a7e7624a-c05e-4812-9c10-268561280005,1684254534330,133262338353436830,23,638.175,536.117,TimeSeries.java,1148,14,,,,3.04152,0.0,1042
05df364a-1fb8-4a55-91d4-eba6649dbe35,1684254534330,133262338337940758,24,641.655,542.164,TimeSeries.java,1147,16,,,,3.00111,0.0,1536
6359a6bc-33b6-486b-889a-7ca7e3f8603d,1684254534330,133262338333940827,25,667.615,499.538,TimeSeries.java,1144,24,,,,3.0217,0.0,374
924acf89-fe79-4a05-9a83-6771e4f8f17f,1684254534330,133262338322689800,26,644.413,470.508,TimeSeries.java,1142,24,,,,3.05965,0.0,908
38f260c2-d3b7-4e28-a15b-01ad0809a5fb,1684254534330,133262338293901109,27,645.25,486.221,TimeSeries.java,1144,14,,,,3.0009,0.0,2841
1a9a32e1-df02-4928-8053-eb9d9004c98f,1684254534330,133262338290770729,28,834.4,469,TimeSeries.java,1142,47,,,,3.01392,0.0,258
9327793b-7e66-4c7f-80c2-c7f3aa27c905,1684254534330,133262338276855022,29,610.111,497.926,TimeSeries.java,1144,15,,,,3.13384,0.0,783
08052ac8-509e-4382-a8a0-ea6c9fb63771,1684254534330,133262338274104697,30,650.25,494,TimeSeries.java,1144,20,,,,3.10716,0.0,250
c37a5e62-ab5b-441d-af84-81570b0c4213,1684254534330,133262338259158769,31,606.276,505.664,TimeSeries.java,1145,15,,,,3.19552,0.0,1453
642b82b0-a244-480f-b2e7-1a73e47492d3,1684254534330,133262338256099874,32,524.286,522.571,TimeSeries.java,1145,2,,,,3.35969,0.0,151
913deae2-c874-49ec-85b4-3853b7576082,1684254534330,133262338243519315,33,660.71,514.449,TimeSeries.java,1145,30,,,,3.18674,0.0,1201
1df9075f-cb9a-41c3-814f-8823e2bf0e23,1684254534330,133262338231608094,34,597.115,523.231,TimeSeries.java,1145,14,,,,3.23388,0.0,1159
eebccbde-b961-40f2-ae2a-7a0aec6063be,1684254534330,133262338211111127,35,597.93,510.48,TimeSeries.java,1145,11,,,,3.3299,0.0,1583
f14bd1b9-7fef-4d12-9e6c-9af9f45039b8,1684254534330,133262338207697851,36,735.5,561.167,TimeSeries.java,1149,33,,,,3.59628,0.0,300
ceb3f4fb-8a5b-46a1-9134-3d1b2e6f335e,1684254534330,133262338158107484,37,628.63,503.15,TimeSeries.java,1144,15,,,,3.17035,0.0,1616
3f31e794-8855-4197-b70d-a9278018864b,1684254534330,133262338156183702,38,671.471,417.765,TimeSeries.java,1139,23,,,,3.09692,0.0,175
58a8bf35-c5c6-4f91-b411-66648204b971,1684254534330,133262338145108974,39,820.056,466.278,TimeSeriesTest.java,531,44,,,,3.18385,0.0,191
224461b3-9d87-4661-9cdf-4523a8352d13,1684254534330,133262338113589264,40,824.5,355.857,TimeSeriesTest.java,524,46,,,,2.98506,0.0,535
6f63b7ef-68e7-4cad-b2ab-980474e60ff5,1684254534330,133262338106356242,41,753.547,356.36,TimeSeriesTest.java,524,36,,,,2.92806,0.0,708
175a717a-c9ed-45a5-8f26-4162bee66be5,1684254534330,133262338099269108,42,678.284,352.58,TimeSeriesTest.java,524,22,,,,3.01259,0.0,692
7850f55e-a57d-4b96-9d6f-8bdf34c38687,1684254534330,133262338093338043,43,597.854,334.25,TimeSeriesTest.java,524,11,,,,3.02299,0.0,577
587e71ac-2910-4360-8901-837efed28c12,1684254534330,133262337892528131,44,1043.2,252.4,TimeSeries.java,1128,76,,,,3.24122,0.0,241
039b138e-4b4f-4da9-9c37-9d96381ea4aa,1684254534330,133262337791778456,45,799.672,661.845,TimeSeries.java,1155,41,,,,3.0174,0.0,548
db53a951-a589-47bb-a5ac-2bade5727163,1684254534330,133262337781525839,46,713,297.333,TimeSeries.java,1128,30,,,,3.08246,0.0,124
66c26e51-7a7b-4c21-baf0-9b4f2eab91e6,1684254534330,133262337723426657,47,572.979,501.553,TimeSeries.java,1144,11,,,,3.29981,0.0,635
0ce4987b-806c-4e69-b5a4-abd8f590b4ee,1684254534330,133262337707443477,48,611.575,523.904,TimeSeries.java,1145,14,,,,3.3673,0.0,1576
40dc0ca8-5c91-471c-b757-741a0439e2df,1684254534330,133262337697589822,49,617.38,364.81,TimeSeries.java,1134,12,,,,3.34971,0.0,958
188b96e1-9421-48c9-beb7-2d9fea4b277c,1684254534330,133262337695006105,50,675.063,390.188,TimeSeries.java,1137,23,,,,3.47931,0.0,235
42b44900-cdbd-48f0-8469-3fc18c8c2cc4,1684254534330,133262337684026382,51,710.353,417.471,Bug-2.txt,37,32,,,,3.25028,0.0,208
b517dc3b-ed75-43be-a5cf-b1c0515c2352,1684254534330,133262337662588016,52,616.267,280.833,XYSeriesTest.java,523,16,,,,3.22934,0.0,260
18955410-de00-4be6-b159-34ffff4ee408,1684254534330,133262337635692101,53,650.207,239.655,XYSeriesTest.java,520,21,,,,3.00275,0.0,425
716e24be-cfc0-4567-975e-fb5e005a3026,1684254534330,133262337602858674,54,610.5,247.5,XYSeriesTest.java,68,15,,,,3.2083,0.0,200
1c8412bf-08a2-446e-87f4-d5a0f82915c4,1684254534330,133262337532278211,55,734.846,446,Bug-2.txt,40,36,,,,3.14187,0.0,250
7894e998-e55f-4dea-80a5-e84e2ae9cc4e,1684254534330,133262337503362870,56,623.8,415.4,Bug-2.txt,37,18,,,,3.08741,0.0,249
7db6a9ed-b66c-4450-89a5-0e28a40c08bf,1684254534330,133262337493110444,57,522.872,413.532,Bug-2.txt,36,6,,,,3.08296,0.0,842
5d0a7094-d66e-45f2-b3ec-f1a4749b88b7,1684254534330,133262337489193982,58,598.727,418.818,Bug-2.txt,37,16,,,,3.0629,0.0,374
b2c7b9d2-a0d1-4c53-a331-6523105cbf6b,1684254534330,133262337481108130,59,615,412.5,Bug-2.txt,37,15,,,,2.98533,0.0,509
efdc6291-208d-4722-a887-478479d2c4f8,1684254534330,133262337349512172,60,550.794,407.206,Bug-2.txt,36,5,,,,2.99087,0.0,869
be02713b-787b-42b8-982b-d7996063e62b,1684254534330,133262337271525100,61,638.056,422.167,Bug-2.txt,37,22,,,,3.04721,0.0,283
3936aa08-ea06-4114-a555-58d862151a64,1684254534330,133262337243615430,62,689.125,421.625,Bug-2.txt,37,29,,,,3.22038,0.0,223
b2c2516a-c918-4470-b4ba-4ac6fce9c7bf,1684254534330,133262337225444854,63,622.125,415.7,Bug-2.txt,37,23,,,,3.10673,0.0,1684
75077283-24d0-437f-9e42-77c21de0d40d,1684254534330,133262337204505558,64,687.463,422.796,Bug-2.txt,37,29,,,,3.16332,0.0,1785
03eff917-2196-4790-af3c-0bdb1584be8c,1684254534330,133262337200274051,65,850.514,422,Bug-2.txt,37,48,,,,3.18751,0.0,393
70d91b1a-e7bc-473f-8e46-986fa75a309b,1684254534330,133262337194015318,66,798.092,425.708,Bug-2.txt,38,45,,,,3.23762,0.0,610
a70a4596-c207-4fec-8bb3-9349343c761a,1684254534330,133262337185529639,67,632.636,342.955,Bug-2.txt,32,18,,,,2.97796,0.0,174
b4d362ea-5254-4cba-be3b-bba4889232a1,1684254534330,133262337102348356,68,516.605,415.372,Bug-2.txt,36,5,,,,3.20137,0.0,417
